player,passes,shots,dribbles,pressures
Miguel Ángel Guerrero Martín,16,0,1,27
Alen Halilović,15,1,1,11
Ignacio Cases Mora,43,1,0,29
Karim Benzema,38,3,2,6
Alejandro Menéndez Díez,39,0,2,25
Luka Modrić,127,3,2,11
Ismael López Blanco,40,1,3,26
Kléper Laveran Lima Ferreira,83,2,1,4
Luis Hernández Rodríguez,32,0,1,4
Daniel Carvajal Ramos,91,0,2,12
Marcelo Vieira da Silva Júnior,71,0,3,15
Cristiano Ronaldo dos Santos Aveiro,33,5,3,7
Sergio Álvarez Díaz,22,0,0,28
Iván Cuéllar Sacristán,26,0,0,0
Toni Kroos,120,0,1,18
Keylor Navas Gamboa,22,0,0,0
Francisco Román Alarcón Suárez,54,0,1,13
Raphaël Varane,65,1,0,12
Gareth Frank Bale,24,2,1,4
Alberto Lora Ramos,44,0,0,14
Jonathan Rodríguez Menéndez,31,5,5,10
Jorge Meré Pérez,26,0,1,5
Jesé Rodríguez Ruiz,21,1,3,8
Daniel Arnaud N''Di	,19,1,3,9
James David Rodríguez Rubio,23,0,0,5
Rachid Aït-Atmane,32,0,0,7
Mateo Kovačić,14,0,1,7
Arnaldo Antonio Sanabria Ayala,6,0,0,8
